Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C12, C13, C9",0402,4,1uF,
"C1, C10, C11, C16, C2, C3, C4, C5, C6, C7, C8",0402,11,0.1uF,
"C14, C15",0402,2,8pf,
D1,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
D2,0805,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
"J4, J5",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0402,2,5.1K,
"R10, R5, R7",0402,3,1K,
"R12, R13",0402,2,4.7K,
"R3, R4",0402,2,27,
"R6, R9",0402,2,10K,
R8,0402,1,330,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,12MHz,
